Mês,LOC,Classes,Methods,Classes Deus,Métodos Deus
1,2199,9,140,1,5
2,2199,9,140,1,5
3,2199,9,140,1,5
4,2457,9,154,1,5
5,2426,9,150,1,5
6,2426,9,150,1,5
7,2581,9,162,2,5
8,2418,9,151,1,6
9,2427,9,152,1,6
10,2427,9,152,1,6
11,2139,7,131,0,6
12,2139,7,131,0,6
13,2136,7,131,0,6
14,2136,7,131,0,6
15,2172,7,135,0,6
16,2172,7,135,0,6
17,2235,7,135,0,6
18,2235,7,135,0,6
19,1992,7,120,0,6
20,1992,7,120,0,6
21,1992,7,120,0,6
22,1992,7,120,0,6
23,1992,7,120,0,6
24,1904,6,119,0,5
25,1910,6,120,0,5
26,1910,6,120,0,5
27,1910,6,120,0,5
28,1897,6,115,0,6
